String,Type,label,predicate
1 person is looking at this item.,Social Proof,1,Activity Notifications
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages
17 people have viewed this wine today,Social Proof,1,Activity Notifications
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0,None
Strip Softbox,Not Dark Pattern,0,None
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,1,Activity Notifications
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,1,Countdown Timers
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,Limited-time Messages
"Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase",Not Dark Pattern,0,None
Nursery,Not Dark Pattern,0,None
Lack Of Color,Not Dark Pattern,0,None
Mitre Saws,Not Dark Pattern,0,None
High Arches,Not Dark Pattern,0,None
Wall Mounted Air Conditioners,Not Dark Pattern,0,None
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers
More Info,Not Dark Pattern,0,None
What's New By Category,Not Dark Pattern,0,None
Explore The NRA Universe Of Websites,Not Dark Pattern,0,None
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,None
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime.",Not Dark Pattern,0,None
All Womens Accessories,Not Dark Pattern,0,None
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1,Activity Notifications
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,1,Pressured Selling
I'LL PAY FULL PRICE,Misdirection,1,Confirmshaming
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,1,Limited-time Messages
"touching, funny and romantic",Not Dark Pattern,0,None
Rs INR,Not Dark Pattern,0,None
Real time 30 Visitor right now,Social Proof,1,Activity Notifications
New In,Not Dark Pattern,0,None
"Hurry, only 6 left in stock!",Scarcity,1,Low-stock Messages
Brown Dresses,Not Dark Pattern,0,None
Shop By Shape,Not Dark Pattern,0,None
Add and save!,Misdirection,1,Trick Questions
"Oscar from Cajamarca, Peru purchased",Social Proof,1,Activity Notifications
GeekVape Pursue a Healthy Vaping Experience,Not Dark Pattern,0,None
"2,221 people have purchased this item",Social Proof,1,Activity Notifications
[new-troh-pick],Not Dark Pattern,0,None
New In Lunch Boxes,Not Dark Pattern,0,None
All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0,None
"No thanks, I don't like saving money",Misdirection,1,Confirmshaming
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark Pattern,0,None
Optics and Mounts,Not Dark Pattern,0,None
Last 1 left,Scarcity,1,Low-stock Messages
No thanks. I don’t want to save money.,Misdirection,1,Confirmshaming
NRA Firearms For Freedom,Not Dark Pattern,0,None
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,1,Activity Notifications
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",Not Dark Pattern,0,None
Down Jackets,Not Dark Pattern,0,None
4 bought in the last 24 hours.,Social Proof,1,Activity Notifications
Bathroom Lighting,Not Dark Pattern,0,None
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
Country (Optional),Not Dark Pattern,0,None
Speed Lace Accessory Kit - Silver,Not Dark Pattern,0,None
Last 1 in stock,Scarcity,1,Low-stock Messages
Mobile Terms of Use,Not Dark Pattern,0,None
Active Filters English English ✘ Remove Filter,Not Dark Pattern,0,None
