String,Type,label,predicate
Perhaps you could...,Not Dark Pattern,0,None
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Social Proof,1,Activity Notifications
Real time 30 Visitor right now,Social Proof,1,Activity Notifications
$69.50 For A few Details,Urgency,1,Limited-time Messages
Your order is reserved for 09:57 minutes.,Urgency,1,Countdown Timers
Availability: In Stock Hurry! Only 8 Left!,Scarcity,1,Low-stock Messages
"2,221 people have purchased this item",Social Proof,1,Activity Notifications
 C.P. Company ,Not Dark Pattern,0,None
 Contact Lens Washer ,Not Dark Pattern,0,None
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1,Activity Notifications
Someone in United States just purchased a,Social Proof,1,Activity Notifications
Deal expires in: 03 hrs 25 mins 22 sec,Urgency,1,Countdown Timers
"Rick in Columbia, United States purchased a",Social Proof,1,Activity Notifications
 View All Home Office Furniture ,Not Dark Pattern,0,None
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Social Proof,1,Activity Notifications
 Menthol Flavors ,Not Dark Pattern,0,None
🔥 2 people are looking right now,Social Proof,1,Activity Notifications
LIMITED TIME ONLY,Urgency,1,Limited-time Messages
Country (Optional),Not Dark Pattern,0,None
the OFFER,Urgency,1,Limited-time Messages
Events and Entertainment,Not Dark Pattern,0,None
No thanks - I don't want to save money,Misdirection,1,Confirmshaming
"No, I'll rather pay full price.",Misdirection,1,Confirmshaming
Charleston ,Not Dark Pattern,0,None
Limited Time Offer: 10% Off your first order!,Urgency,1,Limited-time Messages
Act now and save $12.99. Limited time only!,Urgency,1,Limited-time Messages
Want to add one of these?,Misdirection,1,Pressured Selling
We are currently accepting and processing orders from following:,Not Dark Pattern,0,None
all in 15hrs 1min 56sec!,Urgency,1,Countdown Timers
LOW IN STOCK!! GET YOURS NOW,Scarcity,1,Low-stock Messages
Covered all grays,Not Dark Pattern,0,None
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,1,Activity Notifications
I am very pleased with the service I received.,Not Dark Pattern,0,None
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers
"No, I don't feel lucky",Misdirection,1,Confirmshaming
Why I chose this:,Not Dark Pattern,0,None
Baby Cross Stitch & Embroidery Patterns,Not Dark Pattern,0,None
"Want more inspiration and styling tips? Dive into The Southern Edit, Southern Tide’s lifestyle blog, and follow us on social media. ",Not Dark Pattern,0,None
17 people have added this item to cart,Social Proof,1,Activity Notifications
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,1,Confirmshaming
Please note: we do not ship to PO Boxes,Not Dark Pattern,0,None
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Social Proof,1,Activity Notifications
Highline Double Wheel Bag,Not Dark Pattern,0,None
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Urgency,1,Countdown Timers
"No thanks, I'd rather pay full price.",Misdirection,1,Confirmshaming
Girls Trousers,Not Dark Pattern,0,None
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,Not Dark Pattern,0,None
Speed Lace Accessory Kit - Silver,Not Dark Pattern,0,None
"No, I don't want a discount",Misdirection,1,Confirmshaming
251 people are viewing this right now,Social Proof,1,Activity Notifications
99 people are looking at this right now,Social Proof,1,Activity Notifications
Only 1 item left,Scarcity,1,Low-stock Messages
Please add products to see your site in action,Not Dark Pattern,0,None
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,High-demand Messages
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency,1,Countdown Timers
Sign up to stay up to date on all White Cloud news and savings!,Not Dark Pattern,0,None
Download Now,Not Dark Pattern,0,None
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,Urgency,1,Countdown Timers
Card Storage,Not Dark Pattern,0,None
Only 4 left in stock,Scarcity,1,Low-stock Messages
Institute for Legislative Action,Not Dark Pattern,0,None
Ribbons,Not Dark Pattern,0,None
 Soft Toys ,Not Dark Pattern,0,None
Only 1 left in stock,Scarcity,1,Low-stock Messages
Party & Birthday Novelties,Not Dark Pattern,0,None
GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,Misdirection,1,Pressured Selling
6 other people looking at this item,Social Proof,1,Activity Notifications
WARNING! Only 5 left in stock!,Scarcity,1,Low-stock Messages
Your order is reserved for 09:54 minutes!,Urgency,1,Countdown Timers
161 people have viewed this item,Social Proof,1,Activity Notifications
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,High-demand Messages
"No Thanks, I prefer not to have a protection plan",Misdirection,1,Confirmshaming
Only 2 Left,Scarcity,1,Low-stock Messages
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency,1,Limited-time Messages
Only 1 left in stock,Scarcity,1,Low-stock Messages
Lack Of Color,Not Dark Pattern,0,None
24 people currently interested,Social Proof,1,Activity Notifications
3 people are looking at this item right now,Social Proof,1,Activity Notifications
Limited Time Only! 20% Off,Urgency,1,Limited-time Messages
