Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Social Proof,Activity Notifications,Seen on product page 79 clicks today,seen on product page <num> clicks today,24,Seen on product page 79 clicks today,seen on product page <num> clicks today
Social Proof,Activity Notifications,17 people have viewed this wine today,<num> person have view this wine today,183,17 people have viewed this wine today,<num> person have view this wine today
Social Proof,Activity Notifications,Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,jamie from eloy united states purchase a cbd oil vape additives <num> pack about <num> hours ago,258,Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,jamie from eloy united states purchase a cbd oil vape additives <num> pack about <num> hours ago
Social Proof,Activity Notifications,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago,151,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago
Misdirection,Pressured Selling,"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",no usb or y-adapter our usb sound card is highly recommended for pc mac linux windows and works with current gen consoles the y adapter is recommended for console gaming phone or other trrs jacks,524,"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",no usb or y-adapter our usb sound card is highly recommended for pc mac linux windows and works with current gen consoles the y adapter is recommended for console gaming phone or other trrs jacks
Misdirection,Confirmshaming,I'LL PAY FULL PRICE,i ll pay full price,302,"No Thanks, I'll Pay Full Price",no thanks i ll pay full price
Social Proof,Activity Notifications,Real time 30 Visitor right now,real time <num> visitor right now,42,Real time 30 Visitor right now,real time <num> visitor right now
Misdirection,Pressured Selling,Your Plus discount applies if you proceed now,your plus discount applies if you proceed now,443,Your Plus discount applies if you proceed now,your plus discount applies if you proceed now
Social Proof,Activity Notifications,"Oscar from Cajamarca, Peru purchased",oscar from cajamarca peru purchased,88,"Oscar from Cajamarca, Peru purchased",oscar from cajamarca peru purchased
Social Proof,Activity Notifications,"2,221 people have purchased this item",<num> person have purchase this item,1,"2,221 people have purchased this item",<num> person have purchase this item
Misdirection,Pressured Selling,To retain discounts proceed with the recommended bundle,to retain discounts proceed with the recommended bundle,450,To retain discounts proceed with the recommended bundle,to retain discounts proceed with the recommended bundle
Misdirection,Confirmshaming,No thanks. I don’t want to save money.,no thanks i don t want to save money,311,No thanks. I don’t want to save money.,no thanks i don t want to save money
Social Proof,Activity Notifications,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated,21,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated
Social Proof,Activity Notifications,4 bought in the last 24 hours.,<num> bought in the last <num> hours,199,4 bought in the last 24 hours.,<num> bought in the last <num> hours
Misdirection,Pressured Selling,Pre checked newsletter keeps you updated opt out anytime,pre checked newsletter keeps you updated opt out anytime,414,Pre checked newsletter keeps you updated opt out anytime,pre checked newsletter keeps you updated opt out anytime
Misdirection,Trick Questions,Optional gift wrap is included remove to proceed without it,optional gift wrap is included remove to proceed without it,599,Optional gift wrap is included remove to proceed without it,optional gift wrap is included remove to proceed without it
Misdirection,Confirmshaming,I Don't Like to Save Money,i don t like to save money,363,I Don't Like to Save Money,i don t like to save money
Social Proof,Activity Notifications,19 people viewed this product per day,<num> person view this product per day,230,19 people viewed this product per day,<num> person view this product per day
Misdirection,Trick Questions,"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",we d love to send you emails with offers and new products from new balance athletics inc but if you do not wish to receive these updates please tick this box,596,"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",we d love to send you emails with offers and new products from new balance athletics inc but if you do not wish to receive these updates please tick this box
Social Proof,Activity Notifications,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",tambria in hattiesburg just bought peruvian virgin natural wave hair <num> bundles with lace frontal <num> human virgin hair,32,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",tambria in hattiesburg just bought peruvian virgin natural wave hair <num> bundles with lace frontal <num> human virgin hair
Social Proof,Activity Notifications,Purchased 8 times in the last few days.,purchased <num> times in the last few days,17,Purchased 8 times in the last few days.,purchased <num> times in the last few days
Misdirection,Trick Questions,We will keep your preferences cookies required if you hit Reserve,we will keep your preferences cookies required if you hit reserve,588,We will keep your preferences cookies required if you hit Reserve,we will keep your preferences cookies required if you hit reserve
Misdirection,Pressured Selling,Skip step appears after you click Get deal,skip step appears after you click get deal,407,Skip step appears after you click Get deal,skip step appears after you click get deal
Misdirection,Confirmshaming,"No thanks, I despise coupons!",no thanks i despise coupons,375,"No thanks, I despise coupons!",no thanks i despise coupons
Misdirection,Confirmshaming,"No thanks, I'd like 0% off",no thanks i d like <num> off,380,"No thanks, I'd like 0% off",no thanks i d like <num> off
Misdirection,Pressured Selling,Promo applied Taxes and membership fee may be shown at checkout,promo applied taxes and membership fee may be shown at checkout,419,Promo applied Taxes and membership fee may be shown at checkout,promo applied taxes and membership fee may be shown at checkout
Misdirection,Confirmshaming,"NO THANKS, I DON’T WANT 15% OFF",no thanks i don t want <num> off,316,"NO THANKS, I DON’T WANT 15% OFF",no thanks i don t want <num> off
Misdirection,Confirmshaming,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount,315,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Social Proof,Activity Notifications,Trending now 50 customers are viewing this item,trending now <num> customers are view this item,9,Trending now 50 customers are viewing this item,trending now <num> customers are view this item
Social Proof,Activity Notifications,#6 Bestseller in Rugs This item was viewed 92 times in the last day.,<num> bestseller in rugs this item was view <num> times in the last day,197,#6 Bestseller in Rugs This item was viewed 92 times in the last day.,<num> bestseller in rugs this item was view <num> times in the last day
Misdirection,Trick Questions,Spin to unlock your mystery offer,spin to unlock your mystery offer,552,Spin to unlock your mystery offer,spin to unlock your mystery offer
Misdirection,Pressured Selling,To keep exclusive access proceed with the recommended Business plan,to keep exclusive access proceed with the recommended business plan,417,To keep exclusive access proceed with the recommended Business plan,to keep exclusive access proceed with the recommended business plan
Social Proof,Activity Notifications,Bought by 39 people in last few hours! HOT SELLER!,bought by <num> person in last few hours hot seller,297,Bought by 39 people in last few hours! HOT SELLER!,bought by <num> person in last few hours hot seller
Misdirection,Confirmshaming,"No thanks, I want to pay full price",no thanks i want to pay full price,331,"No thanks, I want to pay full price",no thanks i want to pay full price
Social Proof,Activity Notifications,407 customers have viewed this item recently,<num> customers have view this item recently,204,407 customers have viewed this item recently,<num> customers have view this item recently
Misdirection,Pressured Selling,The Basic plan is our most popular pre chosen to save you time,the basic plan is our most popular pre chosen to save you time,394,The Basic plan is our most popular pre chosen to save you time,the basic plan is our most popular pre chosen to save you time
Social Proof,Activity Notifications,Someone in United States just purchased a,someone in united states just purchase a,94,Someone in United States just purchased a,someone in united states just purchase a
Misdirection,Confirmshaming,"No, I Don't Like Discounts",no i don t like discounts,308,"NO, THANKS. I DON'T LIKE DISCOUNTS",no thanks i don t like discounts
Misdirection,Confirmshaming,"No Thanks, I Prefer Paying Full Price.",no thanks i prefer paying full price,300,"No Thanks, I Prefer Paying Full Price.",no thanks i prefer paying full price
Misdirection,Confirmshaming,"No thanks, I dont want a discount",no thanks i dont want a discount,350,"No thanks, I dont want a discount",no thanks i dont want a discount
Social Proof,Activity Notifications,Selling fast! Add to bag 7 times in the last 48 hours.,selling fast add to bag <num> times in the last <num> hours,39,Selling fast! Add to bag 7 times in the last 48 hours.,selling fast add to bag <num> times in the last <num> hours
Social Proof,Activity Notifications,"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",carol in st louis missouri bought original usb charging anti-theft backpack,288,"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",carol in st louis missouri bought original usb charging anti-theft backpack
Misdirection,Pressured Selling,Continue with Plus to keep best value for money,continue with plus to keep best value for money,534,Continue with Plus to keep best value for money,continue with plus to keep best value for money
Misdirection,Trick Questions,Savings applied at product page Apply coupon to finalize,savings applied at product page apply coupon to finalize,563,Savings applied at product page Apply coupon to finalize,savings applied at product page apply coupon to finalize
Misdirection,Pressured Selling,Your Premium discount applies if you proceed now,your premium discount applies if you proceed now,444,Your Premium discount applies if you proceed now,your premium discount applies if you proceed now
Misdirection,Confirmshaming,"No thanks, I don't want to save up to 75%",no thanks i don t want to save up to <num>,326,"No thanks, I don't want to save up to 75%",no thanks i don t want to save up to <num>
Misdirection,Pressured Selling,$132.90 $99.00,<num> <num>,390,$132.90 $99.00,<num> <num>
Social Proof,Activity Notifications,6 others have already bought this deal today!,<num> others have already bought this deal today,224,6 others have already bought this deal today!,<num> others have already bought this deal today
Misdirection,Trick Questions,We will keep your preferences cookies required if you hit Checkout,we will keep your preferences cookies required if you hit checkout,593,We will keep your preferences cookies required if you hit Checkout,we will keep your preferences cookies required if you hit checkout
Social Proof,Activity Notifications,Join over 17 people who already purchased this,join over <num> person who already purchase this,30,Join over 17 people who already purchased this,join over <num> person who already purchase this
