Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Social Proof,Activity Notifications,"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",natalie in graham united states purchase a free bts answer magic pillow about <num> hour ago,234,"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",natalie in graham united states purchase a free bts answer magic pillow about <num> hour ago
Social Proof,Activity Notifications,Real time 30 Visitor right now,real time <num> visitor right now,83,Real time 30 Visitor right now,real time <num> visitor right now
Social Proof,Activity Notifications,"2,221 people have purchased this item",<num> person have purchase this item,0,"2,221 people have purchased this item",<num> person have purchase this item
Social Proof,Activity Notifications,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",matthew in charleston south carolina just purchase the puffy lux mattress,21,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",matthew in charleston south carolina just purchase the puffy lux mattress
Social Proof,Activity Notifications,Someone in United States just purchased a,someone in united states just purchase a,68,Someone in United States just purchased a,someone in united states just purchase a
Social Proof,Activity Notifications,"Rick in Columbia, United States purchased a",rick in columbia united states purchase a,87,"Rick in Columbia, United States purchased a",rick in columbia united states purchase a
Social Proof,Activity Notifications,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago,170,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago
Social Proof,Activity Notifications,🔥 2 people are looking right now,<num> person are looking right now,15,🔥 2 people are looking right now,<num> person are looking right now
Misdirection,Confirmshaming,No thanks - I don't want to save money,no thanks - i don t want to save money,326,No thanks - I don't want to save money,no thanks - i don t want to save money
Misdirection,Confirmshaming,"No, I'll rather pay full price.",no i ll rather pay full price,313,"No, I'll rather pay full price.",no i ll rather pay full price
Misdirection,Pressured Selling,Want to add one of these?,want to add one of these,368,Want to add one of these?,want to add one of these
Social Proof,Activity Notifications,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it,23,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Social Proof,Activity Notifications,17 people have added this item to cart,<num> person have added this item to cart,4,17 people have added this item to cart,<num> person have added this item to cart
Misdirection,Confirmshaming,"No thanks, I don't want to build one.. I'd rather kick rocks!",no thanks i don t want to build one i d rather kick rocks,282,"No thanks, I don't want to build one.. I'd rather kick rocks!",no thanks i don t want to build one i d rather kick rocks
Social Proof,Activity Notifications,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago,107,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago
Misdirection,Confirmshaming,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Misdirection,Confirmshaming,"No, I don't want a discount",no i don t want a discount,271,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Social Proof,Activity Notifications,251 people are viewing this right now,<num> person are view this right now,258,251 people are viewing this right now,<num> person are view this right now
Social Proof,Activity Notifications,99 people are looking at this right now,<num> person are looking at this right now,132,99 people are looking at this right now,<num> person are looking at this right now
Misdirection,Pressured Selling,GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,glassguard warranty do not fear breaking your glass add our glassguard warranty policy for just <num> and we ll insure this purchase,396,GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,glassguard warranty do not fear breaking your glass add our glassguard warranty policy for just <num> and we ll insure this purchase
Social Proof,Activity Notifications,6 other people looking at this item,<num> other person looking at this item,147,6 other people looking at this item,<num> other person looking at this item
Social Proof,Activity Notifications,161 people have viewed this item,<num> person have view this item,2,161 people have viewed this item,<num> person have view this item
Misdirection,Pressured Selling,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime,347,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime
Social Proof,Activity Notifications,24 people currently interested,<num> person currently interested,114,24 people currently interested,<num> person currently interested
Social Proof,Activity Notifications,3 people are looking at this item right now,<num> person are looking at this item right now,151,3 people are looking at this item right now,<num> person are looking at this item right now
Misdirection,Confirmshaming,"No thanks, I don't like winning",no thanks i don t like winning,276,"No thanks, I don't like winning",no thanks i don t like winning
Misdirection,Trick Questions,Want Free Shipping?,want free shipping,415,Want Free Shipping?,want free shipping
Misdirection,Confirmshaming,"No thanks, I will pay full price.",no thanks i will pay full price,328,"No thanks, I will pay full price.",no thanks i will pay full price
Misdirection,Confirmshaming,"No, I'll rather pay full price.",no i ll rather pay full price,313,"No, I'll rather pay full price.",no i ll rather pay full price
Misdirection,Pressured Selling,Customer also shopped for,customer also shopped for,388,Customer also shopped for,customer also shopped for
Misdirection,Pressured Selling,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime,347,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime
Misdirection,Confirmshaming,"No thank you, I prefer to pay full price",no thank you i prefer to pay full price,323,"No thank you, I prefer to pay full price",no thank you i prefer to pay full price
Misdirection,Confirmshaming,"No thanks, I hate cool stuff",no thanks i hate cool stuff,290,"No thanks, I hate cool stuff",no thanks i hate cool stuff
Misdirection,Confirmshaming,"No Thanks, I Prefer Paying Full Price",no thanks i prefer paying full price,262,"No Thanks, I Prefer Paying Full Price",no thanks i prefer paying full price
Misdirection,Confirmshaming,"No thanks, I’d rather pay more",no thanks i d rather pay more,267,"No thanks, I’d rather pay more",no thanks i d rather pay more
Misdirection,Confirmshaming,No thanks. I prefer paying full price.,no thanks i prefer paying full price,262,"No Thanks, I Prefer Paying Full Price",no thanks i prefer paying full price
Social Proof,Activity Notifications,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,someone from norway purchase a super fg grater - <num> x faster - <num> off,245,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,someone from norway purchase a super fg grater - <num> x faster - <num> off
Social Proof,Activity Notifications,"Oscar from Cajamarca, Peru purchased",oscar from cajamarca peru purchased,220,"Oscar from Cajamarca, Peru purchased",oscar from cajamarca peru purchased
Social Proof,Activity Notifications,23 People viewing this product,<num> person view this product,230,23 People viewing this product,<num> person view this product
Misdirection,Pressured Selling,Yes! Upgrade my purchase,yes upgrade my purchase,372,Yes! Upgrade my purchase,yes upgrade my purchase
Misdirection,Confirmshaming,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money,265,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money
Social Proof,Activity Notifications,232 people are viewing this offer!,<num> person are view this offer,211,232 people are viewing this offer!,<num> person are view this offer
Misdirection,Pressured Selling,Yes! Upgrade my purchase,yes upgrade my purchase,372,Yes! Upgrade my purchase,yes upgrade my purchase
Misdirection,Pressured Selling,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime,347,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime
Misdirection,Confirmshaming,"No Thanks, I'd Rather Pay Full Price",no thanks i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Misdirection,Pressured Selling,Add on something to make it extra special!,add on something to make it extra special,380,Add on something to make it extra special!,add on something to make it extra special
Misdirection,Pressured Selling,With 1-year Care Subscription 10 days history,with <num> -year care subscription <num> days history,369,With 1-year Care Subscription 10 days history,with <num> -year care subscription <num> days history
Misdirection,Confirmshaming,"No thanks, I don't like getting free stuff.",no thanks i don t like getting free stuff,332,"No thanks, I don't like getting free stuff.",no thanks i don t like getting free stuff
Misdirection,Pressured Selling,This offer is only VALID if you add to cart now!,this offer is only valid if you add to cart now,365,This offer is only VALID if you add to cart now!,this offer is only valid if you add to cart now
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
